id;codigo;descripcion;precio;imagen;imagen_content_type;disponible
1;budgetar;cyan ivory;81998;../fake-data/blob/hipster.png;image/png;false
2;Motorway;Dynamic bypassing Sharable;48539;../fake-data/blob/hipster.png;image/png;true
3;GB Check;systemic Practical orchid;19082;../fake-data/blob/hipster.png;image/png;false
4;sensor r;Lithuanian Litas;16177;../fake-data/blob/hipster.png;image/png;true
5;Central ;XSS neural;32131;../fake-data/blob/hipster.png;image/png;false
6;repurpos;Gibraltar Hat;37310;../fake-data/blob/hipster.png;image/png;true
7;Berkshir;synthesize calculating;20559;../fake-data/blob/hipster.png;image/png;false
8;Progress;grey SSL;37847;../fake-data/blob/hipster.png;image/png;true
9;applicat;synthesizing Sleek Plastic Computer;49294;../fake-data/blob/hipster.png;image/png;false
10;parse;heuristic Investor B2B;57366;../fake-data/blob/hipster.png;image/png;true
